4P_Order	Order_date	Shipping_date	Shipping_revenues	Shipping_cost	Carrier/Class	TRK	weight	zip	order_total	Ins
44723	8/6/2019	8/7/2019	11.61	8.06	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99197566	4	35405	150.55	138.94
44724	8/6/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	94597	111	119
44725	8/6/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99235443	1.88	27604	95.36	92.95
44726	8/6/2019	8/7/2019	11.97	8.31	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95567306	4.5	28120	239.87	227.9
44728	8/6/2019	8/7/2019	15.44	10.72	UPS/UPS 3 Day Select	1Z1A1V711299114340	3.69	75201	313.41	297.97
44729	8/6/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	74008	12.9	9
44730	8/6/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99820079	1.81	45419	96.7	99.99
44731	8/6/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	08084	50.88	46.98
44734	8/6/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	37931	21.9	20
44732	8/6/2019	8/7/2019	39.92	27.72	UPS/UPS 2nd Day Air	1Z1A1V710298958718	2.81	98252	133.52	104
44733	8/6/2019	8/7/2019	17.11	11.88	UPS/UPS 2nd Day Air	1Z1A1V710299775691	2.81	02118	105.03	87.92
44735	8/6/2019	8/7/2019	14	9.98	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96712405	5.13	74104	317.97	303.97
44736	8/6/2019	8/7/2019	37.66	26.15	UPS/UPS Next Day Air	1Z1A1V710199762456	0.44	39402	60.65	22.99
44737	8/6/2019	8/7/2019	13.25	9.2	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99622220	2.13	80231	198.25	185
44738	8/7/2019	8/7/2019	40.48	28.11	UPS/UPS Next Day Air	1Z1A1V710196304590	1.19	63367	136.47	95.99
44739	8/7/2019	8/7/2019	13.69	9.51	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98472251	5.31	33896	112.66	98.97
44740	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	08904	60.87	56.97
44742	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	28152	49.89	45.99
44743	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	60607	68.9	65
44744	8/7/2019	8/7/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710296922036	1.63	01752	62.67	39.96
44745	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	94102	18.89	14.99
44754	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	89052	122.9	119
44746	8/7/2019	8/7/2019	48.07	21.63	UPS/UPS Ground	1Z1A1V710397111828	55.56	33713	604.84	622.97
44747	8/7/2019	8/7/2019	12.77	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95147359	2	19026	96.72	83.95
44748	8/7/2019	8/7/2019	13.33	9.26	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99129139	4.63	20024	139.27	125.94
44749	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	66204	28.88	24.98
44751	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	91605	21.9	20
44752	8/7/2019	8/7/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710295345984	1.31	78752	166.71	144
44757	8/7/2019	8/7/2019	43.88	30.47	UPS/UPS Next Day Air	1Z1A1V710197070260	1.75	13790	148.88	105
44759	8/7/2019	8/7/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710296376976	2.25	21205	108.7	85.99
44760	8/7/2019	8/7/2019	41.34	28.71	UPS/UPS Next Day Air	1Z1A1V710199134385	0.75	01027	140.34	99
44761	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	28214	33.89	29.99
44762	8/7/2019	8/7/2019	15.57	10.81	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98415321	1.06	50070	56.52	40.95
44763	8/7/2019	8/7/2019	28.7	19.93	UPS/UPS 2nd Day Air	1Z1A1V710296497649	1.13	89117	147.69	118.99
44764	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98760181	1.88	10019	69.93	57.99
44765	8/7/2019	8/7/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710395380514	0.69	33180	97.69	80.99
44766	8/7/2019	8/7/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97401418	3.31	33747	72.85	59.98
44767	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	48363	15.89	11.99
44768	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	33417	30	29
44770	8/7/2019	8/7/2019	38.66	15.58	UPS/UPS Ground	1Z1A1V710395076237	49.63	35243	470.65	479.99
44771	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99696544	1.81	19148	91.93	79.99
44772	8/7/2019	8/7/2019	10.41	7.23	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96969120	1	23462	41.39	30.98
44773	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	28560	68.9	65
44774	8/7/2019	8/7/2019	14	9.72	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97173497	4.19	2125	142	128
44776	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	11221	13.89	9.99
44777	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	30022	15	9.99
44778	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	36605	13.89	9.99
44779	8/7/2019	8/7/2019	12.12	11.6	UPS/UPS Ground	1Z1A1V710399431489	0.25	27703	26.1	13.98
44780	8/7/2019	8/7/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98737895	2.5	55401	150.74	137.97
44781	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	13210	26.89	22.99
44782	8/7/2019	8/7/2019	16.1	11.18	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96557815	4.31	94114	248.05	231.95
44783	8/7/2019	8/7/2019	18.88	15.81	UPS/UPS 2nd Day Air	1Z1A1V710299992474	1.38	90034	89.8	70.92
44784	8/7/2019	8/7/2019	10.31	7.16	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98986661	3	36111	60.3	49.99
44785	8/7/2019	8/7/2019	13.44	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98119848	2.31	77044	152.38	138.94
44786	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	20770	25.88	21.98
44787	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96989377	1.19	34786	101.7	89.99
44788	8/7/2019	8/7/2019	17.47	12.13	UPS/UPS Ground	1Z1A1V710395763333	5.44	60660	359.4	341.93
44789	8/7/2019	8/7/2019	12.28	8.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97577284	2.5	43203	114.26	101.98
44790	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	94103	62.89	58.99
44791	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95144923	1.94	07030	47.9	35.96
44792	8/7/2019	8/7/2019	12.28	8.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99444057	2.31	21040	80.23	67.95
44793	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	32309	53.89	49.99
44817	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	08075	52.9	49
44794	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	43201	39.86	35.96
44795	8/7/2019	8/7/2019	10.09	7.01	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99593968	2	35022	147.05	136.96
44796	8/7/2019	8/7/2019	10.97	7.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98797508	1.06	31520	47.46	32.97
44797	8/7/2019	8/7/2019	63.39	42	UPS/UPS Ground	1Z1A1V710395630360	6.94	926	263.25	199.86
44798	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99787704	1.5	07003	119.91	107.97
44799	8/7/2019	8/7/2019	28.11	21.7	UPS/UPS 3 Day Select	1Z1A1V711298184866	5.06	80205	201.08	172.97
44800	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	91307	33.89	29.99
44801	8/7/2019	8/7/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710399135577	1	19067	49.67	32.98
44802	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	10011	12.89	8.99
44803	8/7/2019	8/7/2019	10.09	7.01	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95357533	1	28278	33.07	22.98
44804	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	42038	13.89	9.99
44848	8/7/2019	8/7/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710391103160	2.31	27127	116.92	117.92
44805	8/7/2019	8/7/2019	15.29	10.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98317553	3.81	94102	246.24	230.95
44806	8/7/2019	8/7/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710397190430	1	87123	66.68	49.98
44807	8/7/2019	8/7/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710296812655	2	60614	95.66	72.95
44808	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.69	75217	23.88	19.98
44809	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	33527	23.89	19.99
44810	8/7/2019	8/7/2019	15.29	10.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97822606	3.94	98106	87.26	71.97
44811	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.81	77007	33.87	29.97
44812	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	95821	26.89	22.99
44813	8/7/2019	8/7/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94345299	1.56	97230	94.02	80.93
44814	8/7/2019	8/7/2019	16.37	11.37	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95638748	5.19	91739	148.3	131.93
44815	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99348429	1.69	77004	70.91	58.97
44816	8/7/2019	8/7/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98586790	1.19	91607	103.08	89.99
44818	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW90578456	1.19	45230	56.68	44.97
44819	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	78201	23.87	19.97
44820	8/7/2019	8/7/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97653316	2.13	61265	170.77	158
44821	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	02062	43.89	39.99
44822	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	98273	62.89	58.99
44823	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98323000	1.19	24401	101.7	89.99
44824	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	33618	23.88	19.98
44825	8/7/2019	8/7/2019	18.55	12	UPS/UPS Ground	1Z1A1V710393031118	1.88	98028	188.52	169.97
44826	8/7/2019	8/7/2019	10.97	7.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96247758	1.88	32205	219.96	208.99
44827	8/7/2019	8/7/2019	15.08	10.28	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95623165	6.56	76112	202.99	187.91
44828	8/7/2019	8/7/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97696913	1.06	94915	90.05	76.96
44829	8/7/2019	8/7/2019	16.32	7.93	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97064202	2.13	32583	97.25	80.93
44830	8/7/2019	8/7/2019	17.16	11.07	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96537908	1.25	89423	137.12	119.96
44831	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	76012	13.89	9.99
44832	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	90250	74.88	70.98
44833	8/7/2019	8/7/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710392282402	1.44	97250	80.07	67.95
44834	8/7/2019	8/7/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99468586	1.19	84103	77.86	64.99
44835	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	31405	57.11	48.98
44836	8/7/2019	8/7/2019	11.94	7.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95298839	1	01752	33.91	21.97
44837	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98421529	1.19	08753	101.93	89.99
44838	8/7/2019	8/7/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92327222	1.38	85016	87.84	74.97
44839	8/7/2019	8/7/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97102045	2.31	06705	174.73	161.96
44840	8/7/2019	8/7/2019	12.28	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99841770	3.06	48237	78.23	65.95
44949	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	33897	62.89	58.99
44841	8/7/2019	8/7/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710293663410	1.25	32210	118.69	95.98
44842	8/7/2019	8/7/2019	0	12.59	UPS/UPS Ground	1Z1A1V710398007547	5.81	02118	0	0
44843	8/7/2019	8/7/2019	17.88	12.42	UPS/UPS Ground	1Z1A1V710399583413	2.69	89044	137.84	119.96
44844	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	10065	39.6	42
44845	8/7/2019	8/7/2019	15.67	10.88	UPS/UPS 2nd Day Air	1Z1A1V710298784496	0.31	10018	47.65	31.98
44846	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	85705	12.89	8.99
44849	8/7/2019	8/7/2019	10.09	7.01	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98404879	1.19	30127	103.77	85.99
44850	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99739462	1.19	01020	97.93	85.99
44847	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99314143	1.19	55344	97.93	85.99
44851	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	90802	33.89	29.99
44852	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	29063	38.85	34.95
44853	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	95918	28.9	25
44854	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.81	20011	25.88	21.98
44855	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98057441	1.44	23504	112.69	100.98
44856	8/7/2019	8/7/2019	20.45	13.82	UPS/UPS Ground	1Z1A1V710396838975	10.75	80903	340.35	319.9
44857	8/7/2019	8/7/2019	24.38	16.86	UPS/UPS Ground	1Z1A1V710396664037	14.69	61772	292.36	267.98
44858	8/7/2019	8/7/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92825345	4	20009	121.87	109
44859	8/7/2019	8/7/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96218726	1.63	98106	77.05	63.96
44860	8/7/2019	8/7/2019	12.87	9.49	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96735873	2.81	83402	135.74	122.87
44861	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	35124	48.84	44.94
44890	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	87111	43.89	39.99
44862	8/7/2019	8/7/2019	18.88	13.11	UPS/UPS 2nd Day Air	1Z1A1V710297354210	0.63	92821	48.85	29.97
44863	8/7/2019	8/7/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97060091	3	77706	62.76	49.99
44864	8/7/2019	8/7/2019	11.94	7.15	UPS/UPS SurePost Less than 1 lb	1Z1A1V71YN99595115	0.81	55105	38.92	26.98
44865	8/7/2019	8/7/2019	33.44	23.22	UPS/UPS Next Day Air	1Z1A1V710196318021	1.44	33122	72.43	38.99
44866	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96032168	1.19	43068	97.7	85.99
44867	8/7/2019	8/7/2019	11.61	8.06	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96228993	3.81	32068	83.58	71.97
44868	8/7/2019	8/7/2019	12.28	8.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95911737	3	44102	62.27	49.99
44869	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	27360	25.88	21.98
44870	8/7/2019	8/7/2019	17.08	12.18	UPS/UPS Ground	1Z1A1V710398019883	4.13	17104	137.02	119.94
44871	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	85705	23.88	19.98
44872	8/7/2019	8/7/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710397762787	1.75	20009	68.03	78.99
44873	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	27360	13.89	9.99
44874	8/7/2019	8/7/2019	12.28	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99987720	1.44	60432	72.24	59.96
44875	8/7/2019	8/7/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710395949679	1.44	11755	165.68	148.98
44891	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	50327	22.88	18.98
44877	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.69	32807	23.88	19.98
44878	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	14609	27.89	23.99
44879	8/7/2019	8/7/2019	11.94	8.42	UPS/UPS Ground	1Z1A1V710392282939	1.44	14620	75.88	63.94
44880	8/7/2019	8/7/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710298633783	1.31	10019	80.71	58
44881	8/7/2019	8/7/2019	29.45	20.45	UPS/UPS 2nd Day Air	1Z1A1V710294799675	1.63	32563	165.43	135.98
44882	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	75233	13.89	9.99
44883	8/7/2019	8/7/2019	28.76	19.97	UPS/UPS 2nd Day Air	1Z1A1V710290258702	7.69	79404	451.69	422.93
44892	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	84102	13.89	9.99
44893	8/7/2019	8/7/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99863407	3	04103	62.76	49.99
44884	8/7/2019	8/7/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710392570789	1.81	14202	72.66	55.96
44885	8/7/2019	8/7/2019	15.29	10.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96486115	3.63	90048	110.22	94.93
44886	8/7/2019	8/7/2019	19.4	13.47	UPS/UPS Ground	1Z1A1V710394842900	6	84108	180.34	160.94
44887	8/7/2019	8/7/2019	17.28	12	UPS/UPS Ground	1Z1A1V710390154330	1.19	94954	103.27	85.99
44888	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	98146	33.89	29.99
44889	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	94103	14.89	10.99
44895	8/7/2019	8/7/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97734069	2.81	11249	131.75	118.98
44896	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	12758	21.88	17.98
44897	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	89117	26.89	22.99
44898	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	84010	13.89	9.99
44900	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.94	43212	23.88	19.98
44901	8/7/2019	8/7/2019	25.46	17.68	UPS/UPS 3 Day Select	1Z1A1V711292330306	5.63	18104	110.46	85
44902	8/7/2019	8/7/2019	10.31	7.16	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99318309	3	30318	65.12	49.99
44903	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	55417	40.88	36.98
44904	8/7/2019	8/7/2019	14	9.98	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96688906	5.38	74006	173.94	159.94
44905	8/7/2019	8/7/2019	27.58	19.15	UPS/UPS Next Day Air	1Z1A1V710196634626	1.5	28803	156.58	129
44906	8/7/2019	8/7/2019	13.09	9.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98376016	2.06	94109	53.08	39.99
44907	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.94	90069	28.87	24.97
44908	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94944794	1.44	78660	39.93	27.99
44909	8/7/2019	8/7/2019	15.29	9.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94544743	2.56	97006	188.25	172.96
44910	8/7/2019	8/7/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710393866351	1.75	15202	74.07	61.95
44911	8/7/2019	8/7/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95692804	1.31	94109	63.08	49.99
44912	8/7/2019	8/7/2019	13.69	9.51	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96264631	5.63	15212	171.61	157.92
44913	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	27583	33.89	29.99
44914	8/7/2019	8/7/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96951077	1.19	77382	97.93	85.99
44915	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	11204	13.89	9.99
44916	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	92803	43.88	39.98
44917	8/7/2019	8/7/2019	11.94	7.53	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96804397	0.94	75248	85.91	73.97
44918	8/7/2019	8/7/2019	15.67	10.88	UPS/UPS 2nd Day Air	1Z1A1V710298713204	0.5	79404	80.67	65
44950	8/7/2019	8/7/2019	16.7	11.59	UPS/UPS Ground	1Z1A1V710390615270	1.13	37934	65.65	48.95
44919	8/7/2019	8/7/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710396136349	0.81	94109	28.68	11.99
44920	8/7/2019	8/7/2019	13.69	9.51	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97048104	5.19	33614	208.64	194.95
44921	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94824940	1.19	20002	97.7	85.99
44922	8/7/2019	8/7/2019	18	12.24	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92978636	4.94	78620	209.93	191.93
44923	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98934172	1.44	72113	71.68	59.97
44924	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	33603	22.78	20.98
44925	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2613E+25	1.13	21225	36.86	32.96
44951	8/7/2019	8/7/2019	13.09	9.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97742292	2.06	90046	70.03	56.94
44926	8/7/2019	8/7/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710395231185	0.5	11370	75.68	58.99
44928	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	80010	35.89	31.99
44952	8/7/2019	8/7/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710390624840	0.5	60440	46.69	29.99
44929	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	48209	37.86	33.96
44930	8/7/2019	8/7/2019	14.31	9.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95887023	2.63	94131	164.23	149.92
44931	8/7/2019	8/7/2019	22.77	15.81	UPS/UPS 2nd Day Air	1Z1A1V710291754503	1.5	94903	122.73	99.96
45011	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	77995	37.86	33.96
44932	8/7/2019	8/7/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	90017	13.89	9.99
44933	8/7/2019	8/7/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98598358	1.06	46032	56.7	44.99
